ReserveId,UserId,VillaId,ReserveSubmit_dt,Entry_dt,LeadDays
2,3,3,2022-10-11 23:00:00,2022-10-11 00:00:00,-1
101737,260393,16796,2024-04-26 19:00:00,2024-04-26 00:00:00,-1
101743,260406,6749,2024-04-26 20:00:00,2024-04-26 00:00:00,-1
101745,260408,16224,2024-04-26 20:00:00,2024-04-26 00:00:00,-1
101748,260411,9280,2024-04-26 20:00:00,2024-04-26 00:00:00,-1
101750,260414,15510,2024-04-26 20:00:00,2024-04-26 00:00:00,-1
101753,260420,22340,2024-04-26 20:00:00,2024-04-26 00:00:00,-1
101754,2953,7916,2024-04-26 20:00:00,2024-04-26 00:00:00,-1
101757,260426,28453,2024-04-26 21:00:00,2024-04-26 00:00:00,-1
101760,133262,23319,2024-04-26 21:00:00,2024-04-26 00:00:00,-1
101761,260432,7182,2024-04-26 21:00:00,2024-04-26 00:00:00,-1
101763,260440,12743,2024-04-26 22:00:00,2024-04-26 00:00:00,-1
101765,260443,6320,2024-04-26 22:00:00,2024-04-26 00:00:00,-1
101769,260451,17237,2024-04-26 22:00:00,2024-04-26 00:00:00,-1
101770,218800,5350,2024-04-26 22:00:00,2024-04-26 00:00:00,-1
101775,13642,7928,2024-04-26 23:00:00,2024-04-26 00:00:00,-1
101777,13642,5597,2024-04-26 23:00:00,2024-04-26 00:00:00,-1
101778,260470,2504,2024-04-26 23:00:00,2024-04-26 00:00:00,-1
101786,260494,18430,2024-04-27 01:00:00,2024-04-27 00:00:00,-1
101787,81851,34996,2024-04-27 01:00:00,2024-04-27 00:00:00,-1
101789,260499,5024,2024-04-27 02:00:00,2024-04-27 00:00:00,-1
101790,260500,34997,2024-04-27 02:00:00,2024-04-27 00:00:00,-1
101791,260504,6487,2024-04-27 02:00:00,2024-04-27 00:00:00,-1
101792,260505,6091,2024-04-27 03:00:00,2024-04-27 00:00:00,-1
101734,260378,12532,2024-04-26 18:00:00,2024-04-26 00:00:00,-1
101731,260366,9813,2024-04-26 17:00:00,2024-04-26 00:00:00,-1
101729,260364,9017,2024-04-26 17:00:00,2024-04-26 00:00:00,-1
101728,129666,34991,2024-04-26 17:00:00,2024-04-26 00:00:00,-1
101636,260163,16669,2024-04-26 08:00:00,2024-04-26 00:00:00,-1
