VillaId,ReserveId_1,UserId_1,Entry_1,Exit_1,ReserveId_2,UserId_2,Entry_2,Exit_2
39,110952,281678,2024-04-28 00:00:00,2024-04-29 00:00:00,110969,262782,2024-04-28 00:00:00,2024-04-30 00:00:00
145,46001,7,2024-05-26 03:00:00,2024-05-28 03:00:00,63997,173423,2024-05-28 00:00:00,2024-05-29 00:00:00
185,22365,65704,2023-06-15 00:00:00,2023-06-20 00:00:00,149157,343264,2023-06-19 00:00:00,2023-06-21 00:00:00
185,7673,23553,2025-02-09 00:00:00,2025-02-11 00:00:00,152612,369558,2025-02-10 00:00:00,2025-02-11 00:00:00
262,43529,7,2023-08-13 03:00:00,2023-08-14 03:00:00,98648,837,2023-08-14 00:00:00,2023-08-15 00:00:00
306,79092,209394,2023-06-04 00:00:00,2023-06-07 00:00:00,54734,150463,2023-06-06 00:00:00,2023-06-08 00:00:00
306,65892,177968,2023-11-16 00:00:00,2023-11-17 00:00:00,56521,154799,2023-11-16 00:00:00,2023-11-17 00:00:00
340,96243,7,2023-10-02 03:00:00,2023-10-03 03:00:00,13609,40853,2023-10-03 00:00:00,2023-10-05 00:00:00
398,11454,417,2022-10-12 00:00:00,2022-10-13 00:00:00,121008,303876,2022-10-12 00:00:00,2022-10-13 00:00:00
405,34584,98564,2023-09-28 00:00:00,2023-09-29 00:00:00,13024,39225,2023-09-28 00:00:00,2023-09-29 00:00:00
405,68245,4490,2023-10-10 00:00:00,2023-10-11 00:00:00,134839,332917,2023-10-10 00:00:00,2023-10-11 00:00:00
405,113027,286413,2023-10-24 00:00:00,2023-10-25 00:00:00,14672,43890,2023-10-24 00:00:00,2023-10-25 00:00:00
405,113027,286413,2023-10-24 00:00:00,2023-10-25 00:00:00,100261,257206,2023-10-24 00:00:00,2023-10-25 00:00:00
405,14672,43890,2023-10-24 00:00:00,2023-10-25 00:00:00,100261,257206,2023-10-24 00:00:00,2023-10-25 00:00:00
405,2269,7070,2023-10-25 00:00:00,2023-10-30 00:00:00,2772,8613,2023-10-29 00:00:00,2023-10-31 00:00:00
405,76727,203752,2023-11-22 00:00:00,2023-11-24 00:00:00,106424,271394,2023-11-23 00:00:00,2023-11-24 00:00:00
405,56713,155334,2023-11-27 00:00:00,2023-11-29 00:00:00,65635,177337,2023-11-27 00:00:00,2023-11-30 00:00:00
405,56713,155334,2023-11-27 00:00:00,2023-11-29 00:00:00,76459,19679,2023-11-28 00:00:00,2023-11-29 00:00:00
405,65635,177337,2023-11-27 00:00:00,2023-11-30 00:00:00,76459,19679,2023-11-28 00:00:00,2023-11-29 00:00:00
405,116942,295008,2023-12-01 00:00:00,2023-12-04 00:00:00,86220,225740,2023-12-03 00:00:00,2023-12-05 00:00:00
405,14438,43234,2023-12-08 00:00:00,2023-12-09 00:00:00,14344,42922,2023-12-08 00:00:00,2023-12-10 00:00:00
405,14416,43149,2023-12-10 00:00:00,2023-12-12 00:00:00,36603,103494,2023-12-11 00:00:00,2023-12-12 00:00:00
405,3887,11890,2023-12-25 00:00:00,2023-12-27 00:00:00,67030,180704,2023-12-26 00:00:00,2023-12-27 00:00:00
405,77620,205877,2023-12-28 00:00:00,2023-12-29 00:00:00,57066,156205,2023-12-28 00:00:00,2023-12-30 00:00:00
405,97950,252217,2024-01-01 00:00:00,2024-01-02 00:00:00,97891,188315,2024-01-01 00:00:00,2024-01-02 00:00:00
405,113356,287135,2024-03-06 00:00:00,2024-03-07 00:00:00,102992,263377,2024-03-06 00:00:00,2024-03-07 00:00:00
405,35971,102022,2024-04-06 00:00:00,2024-04-07 00:00:00,46362,16291,2024-04-06 00:00:00,2024-04-07 00:00:00
405,74565,198590,2024-04-19 00:00:00,2024-04-20 00:00:00,55960,153434,2024-04-19 00:00:00,2024-04-21 00:00:00
405,56117,153818,2024-04-27 00:00:00,2024-04-30 00:00:00,46610,129635,2024-04-28 00:00:00,2024-04-29 00:00:00
405,113771,208108,2024-06-14 00:00:00,2024-06-15 00:00:00,104429,266631,2024-06-14 00:00:00,2024-06-16 00:00:00
405,104429,266631,2024-06-14 00:00:00,2024-06-16 00:00:00,93801,242686,2024-06-15 00:00:00,2024-06-16 00:00:00
405,104429,266631,2024-06-14 00:00:00,2024-06-16 00:00:00,83282,218848,2024-06-15 00:00:00,2024-06-19 00:00:00
405,93801,242686,2024-06-15 00:00:00,2024-06-16 00:00:00,83282,218848,2024-06-15 00:00:00,2024-06-19 00:00:00
405,83282,218848,2024-06-15 00:00:00,2024-06-19 00:00:00,93820,242725,2024-06-17 00:00:00,2024-06-18 00:00:00
405,83282,218848,2024-06-15 00:00:00,2024-06-19 00:00:00,104598,267050,2024-06-18 00:00:00,2024-06-19 00:00:00
405,5652,17249,2024-07-25 00:00:00,2024-07-26 00:00:00,145286,335707,2024-07-25 00:00:00,2024-07-26 00:00:00
405,47937,105565,2024-08-07 00:00:00,2024-08-08 00:00:00,47866,132775,2024-08-07 00:00:00,2024-08-08 00:00:00
405,48121,133415,2024-08-08 00:00:00,2024-08-09 00:00:00,47895,132878,2024-08-08 00:00:00,2024-08-10 00:00:00
405,127401,317414,2024-08-28 00:00:00,2024-08-30 00:00:00,108067,275078,2024-08-28 00:00:00,2024-08-29 00:00:00
405,79869,211240,2024-10-02 00:00:00,2024-10-03 00:00:00,69527,186642,2024-10-02 00:00:00,2024-10-03 00:00:00
405,69334,186184,2024-10-06 00:00:00,2024-10-09 00:00:00,80238,212013,2024-10-08 00:00:00,2024-10-11 00:00:00
405,120178,301973,2024-10-17 00:00:00,2024-10-19 00:00:00,129615,322211,2024-10-18 00:00:00,2024-10-19 00:00:00
405,120178,301973,2024-10-17 00:00:00,2024-10-19 00:00:00,129651,196215,2024-10-18 00:00:00,2024-10-19 00:00:00
405,129615,322211,2024-10-18 00:00:00,2024-10-19 00:00:00,129651,196215,2024-10-18 00:00:00,2024-10-19 00:00:00
405,6205,7,2024-10-24 03:00:00,2024-10-25 03:00:00,138850,341364,2024-10-25 00:00:00,2024-10-27 00:00:00
405,60002,163380,2024-11-11 00:00:00,2024-11-12 00:00:00,71520,191387,2024-11-11 00:00:00,2024-11-12 00:00:00
405,6734,20613,2024-11-27 00:00:00,2024-11-30 00:00:00,17663,52246,2024-11-28 00:00:00,2024-12-01 00:00:00
405,40055,112616,2024-12-31 00:00:00,2025-01-02 00:00:00,28587,82642,2024-12-31 00:00:00,2025-01-01 00:00:00
405,40055,112616,2024-12-31 00:00:00,2025-01-02 00:00:00,18174,53717,2025-01-01 00:00:00,2025-01-03 00:00:00
405,60668,164967,2025-01-13 00:00:00,2025-01-14 00:00:00,69909,160599,2025-01-13 00:00:00,2025-01-14 00:00:00
405,94499,244226,2025-02-01 00:00:00,2025-02-03 00:00:00,124164,310533,2025-02-01 00:00:00,2025-02-03 00:00:00
405,91820,238325,2025-03-09 00:00:00,2025-03-10 00:00:00,104064,265851,2025-03-09 00:00:00,2025-03-10 00:00:00
405,114444,180704,2025-03-22 00:00:00,2025-03-23 00:00:00,124876,311921,2025-03-22 00:00:00,2025-03-23 00:00:00
405,83907,220308,2025-06-07 00:00:00,2025-06-09 00:00:00,120360,158529,2025-06-08 00:00:00,2025-06-09 00:00:00
405,92124,239015,2025-06-22 00:00:00,2025-06-25 00:00:00,110561,280721,2025-06-22 00:00:00,2025-06-24 00:00:00
405,92124,239015,2025-06-22 00:00:00,2025-06-25 00:00:00,8227,25300,2025-06-23 00:00:00,2025-06-27 00:00:00
405,110561,280721,2025-06-22 00:00:00,2025-06-24 00:00:00,8227,25300,2025-06-23 00:00:00,2025-06-27 00:00:00
405,83104,202378,2025-07-01 00:00:00,2025-07-02 00:00:00,92985,241016,2025-07-01 00:00:00,2025-07-02 00:00:00
405,83104,202378,2025-07-01 00:00:00,2025-07-02 00:00:00,83003,218204,2025-07-01 00:00:00,2025-07-02 00:00:00
405,92985,241016,2025-07-01 00:00:00,2025-07-02 00:00:00,83003,218204,2025-07-01 00:00:00,2025-07-02 00:00:00
405,62666,169983,2025-07-09 00:00:00,2025-07-11 00:00:00,122485,307009,2025-07-09 00:00:00,2025-07-11 00:00:00
405,62666,169983,2025-07-09 00:00:00,2025-07-11 00:00:00,122400,306820,2025-07-09 00:00:00,2025-07-10 00:00:00
405,122485,307009,2025-07-09 00:00:00,2025-07-11 00:00:00,122400,306820,2025-07-09 00:00:00,2025-07-10 00:00:00
405,112461,285072,2025-07-14 00:00:00,2025-07-17 00:00:00,112379,284884,2025-07-15 00:00:00,2025-07-17 00:00:00
405,112461,285072,2025-07-14 00:00:00,2025-07-17 00:00:00,112471,285099,2025-07-15 00:00:00,2025-07-17 00:00:00
405,112379,284884,2025-07-15 00:00:00,2025-07-17 00:00:00,112471,285099,2025-07-15 00:00:00,2025-07-17 00:00:00
405,72952,194835,2025-07-21 00:00:00,2025-07-24 00:00:00,112115,284310,2025-07-23 00:00:00,2025-07-25 00:00:00
405,9920,30585,2025-07-27 00:00:00,2025-07-29 00:00:00,51748,142844,2025-07-28 00:00:00,2025-07-30 00:00:00
405,30990,89252,2025-08-04 00:00:00,2025-08-06 00:00:00,84688,135566,2025-08-04 00:00:00,2025-08-05 00:00:00
405,30990,89252,2025-08-04 00:00:00,2025-08-06 00:00:00,72992,194920,2025-08-05 00:00:00,2025-08-06 00:00:00
405,30888,88961,2025-08-06 00:00:00,2025-08-08 00:00:00,96082,247920,2025-08-07 00:00:00,2025-08-09 00:00:00
405,153668,371559,2025-08-16 00:00:00,2025-08-17 00:00:00,9773,30139,2025-08-16 00:00:00,2025-08-18 00:00:00
405,31341,90192,2025-08-29 00:00:00,2025-09-02 00:00:00,9471,29201,2025-09-01 00:00:00,2025-09-02 00:00:00
405,31341,90192,2025-08-29 00:00:00,2025-09-02 00:00:00,74675,198890,2025-09-01 00:00:00,2025-09-02 00:00:00
405,9471,29201,2025-09-01 00:00:00,2025-09-02 00:00:00,74675,198890,2025-09-01 00:00:00,2025-09-02 00:00:00
405,153467,7,2025-09-26 03:00:00,2025-09-28 03:00:00,21289,62606,2025-09-28 00:00:00,2025-09-29 00:00:00
405,52709,145509,2025-10-08 00:00:00,2025-10-10 00:00:00,52803,145725,2025-10-09 00:00:00,2025-10-11 00:00:00
