VillaId,FirstEntry,LastExit,TotalBookings,ActiveDays
1,2022-08-24 00:00:00,2023-09-21 00:00:00,5,393
2,2022-05-22 00:00:00,2025-10-22 00:00:00,32,1249
3,2022-10-11 00:00:00,2023-05-25 00:00:00,3,226
4,2021-11-30 00:00:00,2024-06-21 00:00:00,4,934
5,2022-07-12 00:00:00,2025-07-29 00:00:00,35,1113
6,2022-02-13 00:00:00,2025-06-22 00:00:00,9,1225
7,2022-09-01 00:00:00,2024-08-23 00:00:00,30,722
8,2022-10-17 00:00:00,2022-10-18 00:00:00,1,1
9,2022-07-08 00:00:00,2025-06-20 00:00:00,13,1078
10,2021-12-11 00:00:00,2022-11-02 00:00:00,4,326
11,2021-11-30 00:00:00,2025-07-23 00:00:00,28,1331
12,2022-10-26 00:00:00,2025-10-19 00:00:00,65,1089
13,2022-01-15 00:00:00,2025-10-20 00:00:00,30,1374
14,2021-12-03 00:00:00,2025-07-16 00:00:00,5,1321
15,2022-10-03 00:00:00,2025-10-10 03:30:00,23,1103
16,2022-01-02 00:00:00,2024-11-24 00:00:00,15,1057
18,2021-06-24 00:00:00,2023-12-09 00:00:00,63,898
19,2023-11-06 00:00:00,2025-10-16 00:00:00,9,710
20,2022-11-14 00:00:00,2023-06-15 00:00:00,4,213
21,2022-05-06 00:00:00,2022-05-27 00:00:00,3,21
22,2022-08-14 00:00:00,2024-10-31 00:00:00,18,809
23,2022-06-12 00:00:00,2024-01-03 00:00:00,16,570
24,2022-05-24 00:00:00,2025-10-23 00:00:00,34,1248
25,2022-08-22 00:00:00,2025-01-08 00:00:00,28,870
26,2022-04-19 00:00:00,2025-05-05 00:00:00,11,1112
27,2023-06-11 00:00:00,2024-03-23 00:00:00,5,286
28,2022-08-15 00:00:00,2025-02-03 00:00:00,7,903
29,2022-07-24 00:00:00,2022-07-27 00:00:00,2,3
30,2022-06-11 00:00:00,2022-09-03 00:00:00,3,84
31,2024-01-25 00:00:00,2024-01-27 00:00:00,1,2
32,2022-11-03 00:00:00,2024-10-11 00:00:00,22,708
33,2022-07-28 00:00:00,2025-03-26 00:00:00,22,972
34,2022-04-02 00:00:00,2022-12-18 00:00:00,11,260
35,2021-11-07 00:00:00,2023-01-31 00:00:00,14,450
36,2022-05-29 00:00:00,2025-01-13 00:00:00,26,960
37,2021-11-02 00:00:00,2025-09-17 00:00:00,25,1415
38,2023-02-05 00:00:00,2025-08-11 00:00:00,46,918
39,2022-09-27 00:00:00,2024-11-13 00:00:00,29,778
40,2022-10-27 00:00:00,2025-08-20 00:00:00,18,1028
41,2022-10-09 00:00:00,2022-10-10 00:00:00,1,1
42,2023-06-10 00:00:00,2023-07-14 00:00:00,3,34
43,2023-11-15 00:00:00,2024-03-07 03:30:00,4,113
44,2022-10-15 00:00:00,2025-09-28 00:00:00,11,1079
45,2022-06-07 00:00:00,2025-06-23 00:00:00,7,1112
46,2022-08-24 00:00:00,2022-12-22 00:00:00,6,120
48,2022-05-09 00:00:00,2022-09-09 00:00:00,3,123
49,2022-08-03 00:00:00,2023-12-01 00:00:00,4,485
50,2022-12-01 00:00:00,2025-10-16 00:00:00,13,1050
51,2022-04-01 00:00:00,2022-12-07 00:00:00,5,250
52,2022-07-14 00:00:00,2024-04-29 00:00:00,13,655
53,2022-05-05 00:00:00,2024-09-09 00:00:00,4,858
54,2022-12-04 00:00:00,2025-08-03 00:00:00,7,973
55,2022-06-05 00:00:00,2024-03-24 00:00:00,13,658
56,2022-07-13 00:00:00,2023-12-15 00:00:00,6,520
57,2021-12-14 00:00:00,2025-01-14 00:00:00,11,1127
58,2022-09-24 00:00:00,2022-10-27 00:00:00,5,33
59,2022-06-08 00:00:00,2023-03-11 00:00:00,12,276
60,2022-11-10 00:00:00,2024-11-10 00:00:00,8,731
61,2022-03-26 00:00:00,2025-03-12 00:00:00,50,1082
62,2021-11-07 00:00:00,2025-10-20 00:00:00,31,1443
63,2022-07-03 00:00:00,2024-12-31 00:00:00,41,912
64,2024-12-02 00:00:00,2024-12-03 00:00:00,1,1
65,2022-10-06 00:00:00,2024-04-07 00:00:00,10,549
66,2023-07-18 00:00:00,2025-09-18 00:00:00,10,793
