VillaId,Bookings
1,5
2,32
3,3
4,4
5,35
6,9
7,30
8,1
9,13
10,4
11,28
12,65
13,30
14,5
15,23
16,15
18,63
19,9
20,4
21,3
22,18
23,16
24,34
25,28
26,11
27,5
28,7
29,2
30,3
31,1
32,22
33,22
34,11
35,14
36,26
37,25
38,46
39,29
40,18
41,1
42,3
43,4
44,11
45,7
46,6
48,3
49,4
50,13
51,5
52,13
53,4
54,7
55,13
56,6
57,11
58,5
59,12
60,8
61,50
62,31
63,41
64,1
65,10
66,10
67,8
68,64
69,16
70,40
71,8
72,5
73,32
74,56
75,9
76,18
77,26
78,16
79,27
80,3
81,8
82,6
83,8
84,12
85,8
86,24
87,4
88,10
89,1
90,5
91,12
92,4
93,3
94,6
95,3
97,7
98,11
99,4
100,20
101,3
102,2
103,4
104,9
105,6
107,11
108,6
109,6
110,3
111,14
112,10
113,21
114,19
115,3
116,6
117,24
118,3
119,42
120,7
121,5
122,6
123,3
124,15
125,3
126,33
127,16
128,17
129,3
130,3
131,29
132,15
133,15
134,5
135,27
136,2
137,52
138,8
139,18
140,30
141,8
142,12
143,30
144,13
145,68
147,13
148,34
149,5
151,9
152,15
153,1
154,20
155,9
156,2
157,20
158,7
159,25
160,8
161,7
162,28
163,6
164,7
165,7
166,5
167,1
168,10
170,19
171,11
172,11
173,7
174,26
175,12
176,8
179,22
180,3
181,1
182,1
183,31
184,5
185,29
186,7
187,3
188,3
189,2
190,1
191,82
192,12
193,11
194,45
195,6
196,22
197,13
198,12
199,14
200,2
201,26
202,7
203,19
204,4
205,11
206,11
207,22
208,20
210,5
211,3
212,30
213,49
214,11
215,25
216,9
217,28
218,10
219,4
220,3
221,26
222,1
223,2
224,12
225,20
226,7
227,35
228,8
229,29
230,29
231,32
232,1
233,4
234,12
235,17
236,8
237,43
238,32
239,38
240,11
241,4
242,2
243,10
245,6
246,6
247,15
248,2
249,15
250,33
251,13
252,1
253,7
254,26
255,7
256,19
257,2
258,2
