VillaId,AvgStayDays
19512,19.0
37337,15.0
19633,15.0
23701,14.5
22078,12.0
16895,11.0
14419,11.0
32546,11.0
13422,10.5
16251,10.0
8043,10.0
36287,10.0
29897,10.0
35479,10.0
36177,9.0
31904,9.0
29606,9.0
24107,9.0
31008,8.0
8626,8.0
28780,8.0
30424,8.0
36289,8.0
32006,8.0
17474,7.75
36097,7.5
25557,7.5
16839,7.2
36747,7.0
30303,7.0
22010,7.0
4279,7.0
30532,7.0
30699,7.0
36788,7.0
1821,7.0
21401,7.0
22800,7.0
31094,7.0
24839,7.0
14418,7.0
33009,7.0
32894,7.0
14669,7.0
35669,7.0
32850,7.0
27966,7.0
31802,7.0
15570,7.0
34195,7.0
38331,7.0
37820,7.0
11985,7.0
19117,7.0
32549,6.5
24833,6.5
25986,6.5
24500,6.0
35199,6.0
21588,6.0
32429,6.0
16343,6.0
6333,6.0
28460,6.0
21256,6.0
10779,6.0
4437,6.0
19202,6.0
6993,6.0
27258,6.0
31817,6.0
2602,6.0
7178,6.0
28566,6.0
2444,6.0
34094,6.0
35666,6.0
38179,6.0
16654,6.0
16833,6.0
18880,6.0
4449,6.0
33762,6.0
27721,6.0
22590,6.0
34721,6.0
33739,6.0
3973,6.0
28040,6.0
32970,6.0
27615,6.0
22845,6.0
15831,6.0
27807,6.0
23011,6.0
15757,6.0
33019,6.0
31336,6.0
35946,6.0
20220,6.0
30760,6.0
10298,6.0
25993,6.0
9485,6.0
8151,6.0
18434,6.0
18303,6.0
30736,6.0
36237,6.0
986,6.0
20292,6.0
21013,6.0
37075,6.0
25410,6.0
25220,6.0
9464,5.666666666666667
11540,5.666666666666667
5245,5.5
30774,5.5
25832,5.5
24066,5.5
4827,5.5
15979,5.25
33310,5.0
23258,5.0
25766,5.0
29144,5.0
23477,5.0
23536,5.0
33229,5.0
33308,5.0
33041,5.0
28632,5.0
4879,5.0
30255,5.0
11307,5.0
29734,5.0
26194,5.0
29883,5.0
26247,5.0
26046,5.0
8732,5.0
4500,5.0
13410,5.0
30188,5.0
26398,5.0
29498,5.0
22681,5.0
33563,5.0
29483,5.0
33525,5.0
25638,5.0
23673,5.0
32786,5.0
28962,5.0
25487,5.0
26240,5.0
28827,5.0
27115,5.0
31781,5.0
31730,5.0
24828,5.0
27005,5.0
14225,5.0
12478,5.0
31301,5.0
34209,5.0
31467,5.0
31431,5.0
14343,5.0
31429,5.0
24899,5.0
24953,5.0
29087,5.0
12893,5.0
25570,5.0
6382,5.0
10980,5.0
25174,5.0
25626,5.0
10880,5.0
32474,5.0
25623,5.0
9730,5.0
25583,5.0
32334,5.0
12114,5.0
32301,5.0
32207,5.0
15001,5.0
14989,5.0
25574,5.0
32062,5.0
32055,5.0
10819,5.0
12217,5.0
18935,5.0
3068,5.0
35476,5.0
20219,5.0
16795,5.0
34861,5.0
21118,5.0
35731,5.0
16863,5.0
3813,5.0
20155,5.0
2712,5.0
37528,5.0
16883,5.0
16892,5.0
34946,5.0
2506,5.0
21894,5.0
21850,5.0
478,5.0
35474,5.0
35270,5.0
3221,5.0
38018,5.0
19977,5.0
37660,5.0
17125,5.0
21774,5.0
21617,5.0
35037,5.0
17451,5.0
36996,5.0
18308,5.0
36628,5.0
36519,5.0
20402,5.0
36407,5.0
1539,5.0
34324,5.0
20281,5.0
16610,5.0
17749,5.0
22149,5.0
20858,5.0
36982,5.0
20996,5.0
2323,5.0
22127,5.0
36054,5.0
36044,5.0
36041,5.0
16679,5.0
2374,5.0
22009,5.0
16780,5.0
35986,5.0
37924,5.0
9907,4.777777777777778
830,4.666666666666667
1523,4.666666666666667
8584,4.666666666666667
25328,4.666666666666667
20723,4.5
31761,4.5
7891,4.5
29958,4.5
18184,4.5
29580,4.5
22316,4.5
28757,4.5
13227,4.5
24733,4.5
20639,4.5
26295,4.5
19433,4.5
22699,4.5
24183,4.5
7982,4.5
12795,4.5
27846,4.5
12529,4.5
28556,4.5
14195,4.5
4243,4.5
26130,4.5
6954,4.5
11480,4.5
21161,4.5
13339,4.5
26974,4.5
7437,4.5
14386,4.5
18582,4.5
9462,4.333333333333333
18894,4.333333333333333
4166,4.333333333333333
29322,4.333333333333333
22512,4.333333333333333
18416,4.333333333333333
13694,4.333333333333333
14529,4.333333333333333
30,4.333333333333333
746,4.333333333333333
23467,4.333333333333333
15577,4.333333333333333
3558,4.333333333333333
8014,4.333333333333333
7390,4.333333333333333
13000,4.333333333333333
3228,4.333333333333333
19513,4.333333333333333
21353,4.285714285714286
10608,4.25
21821,4.25
10150,4.25
25436,4.2
22413,4.2
13016,4.166666666666667
5758,4.166666666666667
27656,4.0
27639,4.0
26164,4.0
26213,4.0
18296,4.0
18322,4.0
19042,4.0
18304,4.0
25996,4.0
26155,4.0
18967,4.0
18130,4.0
27891,4.0
25948,4.0
25960,4.0
25984,4.0
18132,4.0
20381,4.0
27851,4.0
18139,4.0
20305,4.0
13476,4.0
25995,4.0
18215,4.0
13414,4.0
18803,4.0
11342,4.0
20272,4.0
26055,4.0
26107,4.0
19114,4.0
19770,4.0
20232,4.0
27388,4.0
12805,4.0
26611,4.0
26652,4.0
18446,4.0
26673,4.0
26804,4.0
26917,4.0
19555,4.0
27384,4.0
27261,4.0
26926,4.0
12593,4.0
12564,4.0
26965,4.0
19868,4.0
18477,4.0
12189,4.0
26977,4.0
19815,4.0
19795,4.0
27082,4.0
27153,4.0
27166,4.0
26585,4.0
26559,4.0
27573,4.0
26546,4.0
27537,4.0
13099,4.0
19277,4.0
27527,4.0
26287,4.0
27526,4.0
18335,4.0
20181,4.0
27211,4.0
26450,4.0
27441,4.0
11926,4.0
26458,4.0
19484,4.0
20046,4.0
12960,4.0
26487,4.0
11988,4.0
26506,4.0
12894,4.0
27407,4.0
12090,4.0
19996,4.0
13673,4.0
22182,4.0
18123,4.0
23165,4.0
21716,4.0
21649,4.0
21644,4.0
17063,4.0
23665,4.0
17066,4.0
17072,4.0
21619,4.0
23669,4.0
15565,4.0
17114,4.0
23694,4.0
23792,4.0
23802,4.0
23813,4.0
15361,4.0
23823,4.0
17128,4.0
17151,4.0
15284,4.0
23881,4.0
23915,4.0
17167,4.0
21594,4.0
24143,4.0
24160,4.0
17253,4.0
