VillaId,FirstEntry,LastExit,TotalBookings,ActiveDays
2,2022-05-22,2025-10-22 00:00:00,32,1249
5,2022-07-12,2025-07-29 00:00:00,35,1113
11,2021-11-30,2025-07-23 00:00:00,28,1331
12,2022-10-26,2025-10-19 00:00:00,65,1089
13,2022-01-15,2025-10-20 00:00:00,30,1374
15,2022-10-03,2025-10-10 03:30:00,23,1103
24,2022-05-24,2025-10-23 00:00:00,34,1248
33,2022-07-28,2025-03-26 00:00:00,22,972
36,2022-05-29,2025-01-13 00:00:00,26,960
37,2021-11-02,2025-09-17 00:00:00,25,1415
61,2022-03-26,2025-03-12 00:00:00,50,1082
62,2021-11-07,2025-10-20 00:00:00,31,1443
68,2021-10-18,2025-10-06 00:00:00,64,1449
73,2021-07-25,2025-10-16 00:00:00,32,1544
74,2022-03-10,2025-10-17 00:00:00,56,1317
77,2022-07-19,2025-05-27 00:00:00,26,1043
86,2022-05-23,2025-08-19 00:00:00,24,1184
100,2022-10-28,2025-10-06 00:00:00,20,1074
113,2022-10-03,2025-10-04 00:00:00,21,1097
117,2022-05-24,2025-08-15 00:00:00,24,1179
119,2022-02-20,2025-08-07 00:00:00,42,1264
126,2022-11-29,2025-10-09 00:00:00,33,1045
137,2021-05-15,2025-07-28 00:00:00,52,1535
140,2022-04-10,2025-09-08 00:00:00,30,1247
143,2022-11-13,2025-09-07 00:00:00,30,1029
145,2022-08-05,2025-10-08 00:00:00,68,1160
148,2022-08-04,2025-05-29 00:00:00,34,1029
154,2021-12-08,2025-09-03 00:00:00,20,1365
157,2022-09-15,2025-07-08 00:00:00,20,1027
162,2022-03-19,2025-06-26 00:00:00,28,1195
170,2022-01-26,2025-04-30 00:00:00,19,1190
174,2022-07-20,2025-08-02 00:00:00,26,1109
179,2022-06-22,2025-10-24 00:00:00,22,1220
183,2021-08-14,2025-09-09 00:00:00,31,1487
185,2022-09-13,2025-10-15 00:00:00,29,1128
191,2022-03-08,2025-10-21 00:00:00,82,1323
196,2022-12-16,2025-10-09 03:30:00,22,1028
201,2022-03-13,2025-08-22 00:00:00,26,1258
203,2022-08-05,2025-09-17 00:00:00,19,1139
207,2021-09-06,2025-09-27 00:00:00,22,1482
208,2021-10-06,2025-01-04 03:30:00,20,1186
212,2022-06-12,2025-08-30 00:00:00,30,1175
213,2022-03-02,2025-10-23 00:00:00,49,1331
217,2021-09-27,2025-04-16 00:00:00,28,1297
221,2022-10-07,2025-10-14 00:00:00,26,1103
225,2022-01-07,2025-04-19 00:00:00,20,1198
227,2022-01-11,2025-07-24 00:00:00,35,1290
229,2022-08-14,2025-09-05 00:00:00,29,1118
230,2022-07-30,2025-04-04 00:00:00,29,979
231,2022-06-24,2025-09-02 00:00:00,32,1166
237,2021-09-17,2025-08-19 00:00:00,43,1432
238,2022-04-14,2025-04-06 00:00:00,32,1088
239,2022-09-23,2025-10-19 00:00:00,38,1122
250,2022-05-14,2025-10-01 00:00:00,33,1236
254,2022-10-18,2025-09-05 00:00:00,26,1053
260,2022-08-02,2025-10-13 00:00:00,29,1168
262,2022-04-15,2025-09-05 00:00:00,49,1239
263,2021-08-20,2025-10-18 00:00:00,37,1520
264,2022-08-25,2025-10-22 00:00:00,24,1154
265,2021-10-28,2025-09-18 00:00:00,56,1421
270,2022-05-02,2025-04-14 00:00:00,25,1078
278,2021-11-12,2025-11-04 00:00:00,77,1453
279,2022-03-26,2025-09-25 00:00:00,19,1279
284,2021-08-26,2025-05-22 00:00:00,20,1365
293,2021-11-20,2025-05-06 00:00:00,22,1263
295,2021-12-21,2025-10-08 00:00:00,57,1387
300,2022-07-05,2025-10-20 00:00:00,36,1203
309,2022-04-21,2025-09-01 00:00:00,23,1229
321,2022-11-20,2025-09-23 00:00:00,22,1038
324,2022-11-17,2025-08-05 00:00:00,38,992
325,2021-11-22,2025-07-23 00:00:00,19,1339
330,2022-11-27,2025-08-15 00:00:00,21,992
332,2022-10-19,2025-10-22 00:00:00,52,1099
337,2022-10-18,2025-11-06 00:00:00,38,1115
340,2022-09-30,2025-09-11 00:00:00,32,1077
341,2022-11-25,2025-09-08 00:00:00,21,1018
345,2022-06-21,2025-08-30 03:30:00,30,1166
349,2022-02-17,2025-09-27 00:00:00,56,1318
356,2022-04-16,2025-06-29 00:00:00,21,1170
364,2022-02-28,2025-10-31 00:00:00,28,1341
369,2022-03-11,2025-10-03 00:00:00,40,1302
370,2022-05-11,2025-09-03 00:00:00,43,1211
380,2021-12-26,2025-10-27 00:00:00,21,1401
392,2022-05-07,2025-08-18 00:00:00,35,1199
396,2022-03-07,2025-09-27 00:00:00,41,1300
399,2021-07-27,2025-04-13 00:00:00,27,1356
400,2022-06-22,2025-10-17 00:00:00,41,1213
405,2022-10-02,2025-11-06 00:00:00,233,1131
416,2022-10-24,2025-09-28 00:00:00,29,1070
429,2022-11-15,2025-09-28 00:00:00,63,1048
434,2021-09-05,2025-01-07 00:00:00,23,1220
436,2021-11-03,2025-02-10 00:00:00,19,1195
442,2022-01-12,2025-10-07 00:00:00,44,1364
443,2022-10-03,2025-09-29 00:00:00,20,1092
446,2022-12-06,2025-10-26 00:00:00,55,1055
448,2022-02-28,2025-08-10 00:00:00,20,1259
452,2022-04-10,2024-12-09 00:00:00,20,974
457,2022-01-29,2025-08-12 00:00:00,27,1291
460,2022-03-04,2025-07-23 00:00:00,28,1237
474,2021-09-30,2025-09-25 00:00:00,51,1456
479,2022-05-31,2025-10-23 00:00:00,19,1241
488,2021-09-07,2025-01-06 00:00:00,24,1217
494,2021-12-31,2025-07-30 00:00:00,22,1307
514,2022-10-27,2025-07-05 00:00:00,29,982
516,2022-04-04,2025-08-29 00:00:00,33,1243
535,2022-06-12,2025-08-23 00:00:00,22,1168
540,2021-12-08,2025-04-05 00:00:00,26,1214
552,2022-07-13,2025-08-18 00:00:00,22,1132
556,2022-01-13,2025-10-03 00:00:00,25,1359
561,2022-12-30,2025-10-27 00:00:00,21,1032
569,2022-11-28,2025-10-18 00:00:00,21,1055
574,2022-04-14,2025-06-30 00:00:00,19,1173
585,2022-09-07,2025-10-28 00:00:00,36,1147
610,2022-10-11,2025-10-10 00:00:00,51,1095
616,2021-12-31,2025-07-14 00:00:00,21,1291
631,2022-06-01,2025-03-24 00:00:00,28,1027
632,2022-03-06,2024-12-13 00:00:00,27,1013
633,2022-04-08,2025-06-20 03:30:00,36,1169
651,2022-10-14,2025-09-27 00:00:00,35,1079
653,2022-08-14,2025-10-20 00:00:00,27,1163
666,2022-06-15,2025-10-19 00:00:00,34,1222
667,2022-05-15,2025-08-08 00:00:00,28,1181
675,2022-01-16,2025-07-18 00:00:00,36,1279
677,2021-07-13,2025-10-18 00:00:00,77,1558
680,2022-04-28,2025-07-05 00:00:00,28,1164
